"influencer_id","platform","post_id","post_type","post_caption","post_datetime","post_url","likes_count","comments_count","shares_count","views_count","engagement_rate","followers_count","audience_gender_male_pct","audience_gender_female_pct","audience_age_13_17_pct","audience_age_18_24_pct","audience_age_25_34_pct","audience_age_35_44_pct","audience_age_45_54_pct","audience_age_55_64_pct","audience_age_65_plus_pct","audience_top_country","audience_top_city","sponsored","brand_mentioned","hashtags","language"
"influencer_023","YouTube","YT_30023_KLM","video","Tokyo street food tour! Discovering hidden gems.","2024-05-31T14:55:00Z","https://youtube.com/watch?v=30023KLM","15300","1503","347","304000","0.046","385000","55","45","8","39","41","7","3","1","1","JP","Tokyo","false","","tokyo,streetfood,foodtour,japan,hidden","ja"
"influencer_024","Instagram","IG_10024_MNO","video","Exploring new fitness gear by FitPro.","2024-06-05T09:00:00Z","https://instagram.com/p/10024MNO","7320","389","67","65000","0.132","60000","39","61","2","33","45","15","4","1","0","DE","Munich","true","FitPro","fitness,gear,fitpro,explore,workout","de"
"influencer_025","Facebook","FB_40025_OPQ","story","","2024-06-03T22:20:00Z","https://facebook.com/story/40025OPQ","28","3","2","1500","0.002","2100","43","57","0","6","13","23","34","16","8","PT","Lisbon","false","","story,family,advice,health","pt"
"influencer_026","TikTok","TT_20026_RST","reel","Challenge: Can you beat this puzzle?","2024-06-04T17:40:00Z","https://tiktok.com/@influencer_026/reel/20026RST","10700","1203","137","183000","0.074","162000","30","70","9","57","28","4","2","0","0","PH","Davao City","true","PuzzleBox","challenge,puzzle,fun,viral,trend","en"
"influencer_027","YouTube","YT_30027_STU","video","Top 10 mobile games for 2024.","2024-06-03T16:11:00Z","https://youtube.com/watch?v=30027STU","10200","965","314","238500","0.029","375000","88","12","9","45","34","7","3","1","1","RU","Moscow","false","","games,mobile,2024,top10,review","ru"
"influencer_028","Instagram","IG_10028_VWX","story","","2024-06-02T12:10:00Z","https://instagram.com/stories/10028VWX","0","0","0","26000","0","71000","39","61","3","42","46","7","2","0","0","US","New York","false","","story,citylife,explore,travel","en"
"influencer_029","Twitter","TW_50029_YZA","text","Quick tip: Use strong passwords for online safety.","2024-06-04T13:30:00Z","https://twitter.com/influencer_029/status/50029YZA","22","2","4","","0.012","1200","55","45","0","10","33","28","20","6","3","US","Atlanta","false","","tip,password,safety,security","en"
"influencer_030","Other","OT_70030_BCD","other","Local event: Join us for a cleanup day!","2024-06-05T15:30:00Z","","31","4","9","","0.028","1100","52","48","0","5","17","28","34","12","4","NO","Stavanger","false","","event,cleanup,local,community","no"
"influencer_031","Instagram","IG_10031_EFG","image","Exploring Zurich. #travel #switzerland","2024-06-01T11:30:00Z","https://instagram.com/p/10031EFG","4200","188","35","","0.041","102000","45","55","4","29","48","13","4","2","0","CH","Zurich","false","","travel,switzerland,explore,city","de"
"influencer_032","TikTok","TT_20032_GHI","video","New dance routine with BeatFlow!","2024-06-03T22:18:00Z","https://tiktok.com/@influencer_032/video/20032GHI","11800","1350","125","190000","0.079","165000","40","60","13","52","28","5","2","0","0","US","San Diego","true","BeatFlow","dance,beatflow,trending,routine,challenge","en"
"influencer_033","YouTube","YT_30033_IJK","live","Live gameplay: Top FPS games!","2024-06-04T22:40:00Z","https://youtube.com/live/30033IJK","7620","824","245","99000","0.017","540000","95","5","6","34","46","8","4","1","1","RU","Saint Petersburg","false","","live,gaming,FPS,topgames,gameplay","ru"
"influencer_034","Instagram","IG_10034_KLM","image","Summer vibes at the beach. #beachlife #summer","2024-06-02T16:15:00Z","https://instagram.com/p/10034KLM","5880","225","38","","0.055","108000","42","58","2","37","45","13","2","1","0","US","San Diego","true","BeachBreeze","beachlife,summer,vibes,travel","en"
"influencer_035","TikTok","TT_20035_MNO","story","","2024-06-05T09:45:00Z","https://tiktok.com/@influencer_035/story/20035MNO","0","0","0","18500","0","39000","42","58","7","48","31","10","3","1","0","PH","Manila","false","","story,fun,challenge,trend","en"
"influencer_036","YouTube","YT_30036_OPQ","video","How to edit videos like a pro.","2024-06-04T11:13:00Z","https://youtube.com/watch?v=30036OPQ","5200","391","111","79000","0.017","310000","79","21","3","29","49","13","4","1","1","JP","Tokyo","false","","video,editing,pro,tutorial,tech","ja"
"influencer_037","Instagram","IG_10037_RST","image","Fresh market finds. #organic","2024-06-03T09:50:00Z","https://instagram.com/p/10037RST","2150","61","16","","0.029","54000","35","65","1","19","55","18","6","1","0","CH","Geneva","false","","organic,market,fresh,food","fr"
"influencer_038","TikTok","TT_20038_STU","video","Trying out trending meme sounds.","2024-06-01T11:24:00Z","https://tiktok.com/@influencer_038/video/20038STU","7200","950","80","131000","0.061","130000","37","63","8","54","33","4","1","0","0","PH","Cebu City","false","","meme,trending,sound,viral","en"
"influencer_039","YouTube","YT_30039_VWX","video","How to set up a home WiFi mesh network.","2024-06-02T19:00:00Z","https://youtube.com/watch?v=30039VWX","4890","324","99","78000","0.012","400000","85","15","1","22","54","15","5","2","1","US","Seattle","true","NetMesh","wifi,mesh,network,home,tech","en"
"influencer_040","Instagram","IG_10040_YZA","video","Recipe: Summer smoothie bowl.","2024-06-01T09:20:00Z","https://instagram.com/p/10040YZA","3690","183","29","17000","0.059","62000","33","67","3","28","46","17","5","1","0","GB","Liverpool","false","","recipe,smoothie,summer,healthyfood","en"
"influencer_041","TikTok","TT_20041_BCD","video","Stunning transformation with StyleGlow.","2024-06-03T16:41:00Z","https://tiktok.com/@influencer_041/video/20041BCD","12700","1338","112","143000","0.101","140000","25","75","8","57","30","3","2","0","0","PH","Makati","true","StyleGlow","transformation,styleglow,beauty,trend","en"
"influencer_042","YouTube","YT_30042_DEF","video","New review: VR headset from VisionOne.","2024-06-04T14:28:00Z","https://youtube.com/watch?v=30042DEF","6430","529","112","101000","0.02","318000","91","9","3","27","49","14","5","1","1","US","San Jose","true","VisionOne","review,VR,visionone,tech,headset","en"
"influencer_043","Instagram","IG_10043_GHI","image","City lights in Warsaw. #cityscape","2024-06-01T20:10:00Z","https://instagram.com/p/10043GHI","1830","39","11","","0.028","42000","48","52","1","21","49","17","9","3","0","PL","Warsaw","false","","cityscape,warsaw,lights,travel","pl"
"influencer_044","TikTok","TT_20044_IJK","video","Cooking with SunFresh: easy summer recipes.","2024-06-02T09:05:00Z","https://tiktok.com/@influencer_044/video/20044IJK","10250","1197","113","125000","0.082","137000","32","68","6","50","37","5","2","0","0","PH","Makati","true","SunFresh","cooking,sunfresh,summer,recipe","en"
"influencer_045","YouTube","YT_30045_KLM","live","Unboxing live: new gaming console release!","2024-06-05T17:30:00Z","https://youtube.com/live/30045KLM","13200","1702","491","127000","0.018","750000","94","6","7","41","44","5","2","1","0","JP","Osaka","true","GameBox","unboxing,gaming,console,live,release","ja"
"influencer_046","Instagram","IG_10046_MNO","image","Urban cycling in Amsterdam. #bikelife","2024-06-03T17:10:00Z","https://instagram.com/p/10046MNO","3230","117","24","","0.037","87000","47","53","3","29","49","15","3","1","0","NL","Amsterdam","false","","bikelife,cycling,urban,amsterdam","en"
"influencer_047","TikTok","TT_20047_OPQ","reel","Funny pet moments compilation.","2024-06-04T15:00:00Z","https://tiktok.com/@influencer_047/reel/20047OPQ","9200","1002","89","122000","0.071","129000","38","62","7","51","34","6","2","0","0","PH","Caloocan","false","","funny,pet,moments,compilation,trend","en"
"influencer_048","YouTube","YT_30048_RST","video","Review: Best budget smartphones 2024.","2024-06-01T16:55:00Z","https://youtube.com/watch?v=30048RST","6700","622","151","105000","0.021","319000","83","17","4","39","45","7","3","1","1","US","Dallas","true","SmartTech","review,smartphone,budget,tech,2024","en"
"influencer_049","Instagram","IG_10049_STU","image","Fresh blooms in springtime. #flowers","2024-06-05T07:32:00Z","https://instagram.com/p/10049STU","1890","57","13","","0.039","48000","38","62","2","21","52","15","7","3","0","GB","Bristol","false","","flowers,spring,blooms,beauty","en"
"influencer_050","TikTok","TT_20050_VWX","video","Latest dance trend with MovePro!","2024-06-02T18:55:00Z","https://tiktok.com/@influencer_050/video/20050VWX","11200","1047","99","138000","0.083","134000","31","69","6","54","34","4","2","0","0","PH","Pasig","true","MovePro","dance,movepro,trend,viral","en"
"influencer_021","Instagram","IG_20381_KJL","image","Embracing the vibrant colors of spring in Paris. #springvibes","2024-04-21T16:34:00Z","https://instagram.com/p/IG_20381_KJL","2810","180","42","","0.031","90200","38.5","61.5","4","34","43","13","4","1","1","FR","Paris","true","ColorMeParis","springvibes,paris,colors,urbanfashion,travelgram","fr"
"influencer_022","TikTok","TT_11829_MNA","reel","Dance challenge accepted! Can you beat my moves? #dancebattle","2024-05-02T18:45:00Z","https://tiktok.com/@influencer_022/video/11829","26400","2230","285","195000","0.073","379400","32","68","17","49","27","5","1","1","0","PH","Manila","false","","dancechallenge,dancebattle,tiktokmoves,viral,fun","en"
"influencer_023","YouTube","YT_95122_RAK","video","Unboxing the latest gaming headset. Watch till the end for a surprise!","2024-06-04T13:12:00Z","https://youtube.com/watch?v=YT_95122_RAK","9300","876","214","302000","0.009","1053000","74","26","11","41","37","6","3","1","1","US","Los Angeles","true","HyperTech","gaming,unboxing,techreview,headset,hypertech","en"
"influencer_024","Facebook","FB_48762_QWO","live","Going live to discuss family wellness tips. Join the conversation!","2024-03-19T19:00:00Z","https://facebook.com/live/48762QWO","410","28","17","3200","0.035","11700","41","59","1","6","19","21","31","16","6","GB","Manchester","false","","family,wellness,health,fbcommunity","en"
"influencer_025","Instagram","IG_30947_HGF","video","Quick HIIT routine for busy mornings. Tag a friend who needs this!","2024-05-28T07:25:00Z","https://instagram.com/p/IG_30947_HGF","3490","197","63","18800","0.042","84300","24","76","2","27","48","13","7","2","1","NO","Oslo","true","FitBoost","hiit,fitness,morningroutine,workoutpartner,fitboost","no"
"influencer_026","Other","OT_16094_ZXE","other","Community garden project update: Volunteers needed for Saturday!","2024-02-25T14:10:00Z","","83","7","4","","0.072","1300","47","53","1","7","25","36","22","7","2","SE","Gothenburg","false","","community,gardening,volunteer,projectupdate","sv"
"influencer_027","Twitter","TW_50873_YUI","text","Tech conference insights: AI trends for 2024.","2024-06-07T09:23:00Z","https://twitter.com/influencer_027/status/50873","204","16","31","","0.011","23100","58","42","2","23","41","20","11","2","1","US","Austin","false","","AI,trends,techconference,2024,innovation","en"
"influencer_028","Instagram","IG_49281_TYU","story","","2024-06-11T10:09:00Z","https://instagram.com/stories/IG_49281_TYU","0","0","0","12900","0","55100","44","56","6","38","34","14","6","1","1","DE","Berlin","false","","dailyupdate,berlin,story,instastory","de"
"influencer_029","TikTok","TT_28473_WER","video","My top 5 skincare hacks revealed! #glowup","2024-05-14T20:18:00Z","https://tiktok.com/@influencer_029/video/28473","19400","1490","301","156900","0.036","580000","30","70","13","60","21","4","1","1","0","PH","Quezon City","true","GlowSkin","skincare,hacks,glowup,beautytips,glowskin","en"
"influencer_030","Facebook","FB_92018_FDS","story","","2024-05-19T15:40:00Z","https://facebook.com/story/92018FDS","19","2","0","2100","0.004","4700","42","58","2","8","17","25","31","13","2","ZA","Cape Town","false","","family,story,wellness,healthtips","en"
"influencer_031","YouTube","YT_28374_XCV","live","Live Q&A: Ask me anything about drone photography!","2024-06-03T21:11:00Z","https://youtube.com/live/YT_28374_XCV","10200","1332","210","245000","0.003","3921000","89","11","9","39","38","10","3","1","0","JP","Tokyo","false","","dronephotography,liveQA,tech,travel,japan","ja"
"influencer_032","Instagram","IG_84193_OIU","reel","Vegan lunch ideas for a busy week. Save for later!","2024-04-27T12:26:00Z","https://instagram.com/reel/IG_84193_OIU","1290","106","21","11000","0.018","72300","23","77","3","31","42","16","5","2","1","US","Seattle","false","","vegan,lunchideas,plantbased,healthyfood,easyrecipes","en"
"influencer_033","Twitter","TW_65748_VBN","text","Nonprofit spotlight: Clean water for all. Help us spread the word.","2024-02-06T17:15:00Z","https://twitter.com/influencer_033/status/65748","56","4","12","","0.021","1040","46","54","0","8","47","21","18","4","2","PL","Warsaw","false","","nonprofit,cleanwater,impact,twitter","pl"
"influencer_034","TikTok","TT_67654_HJK","story","","2024-06-12T11:20:00Z","https://tiktok.com/story/67654HJK","0","0","0","9300","0","15200","41","59","0","9","18","29","24","13","7","ES","Madrid","false","","story,challenge,community,fun","es"
"influencer_035","Instagram","IG_69024_KLM","image","Sunrise run along the Thames. #morningmotivation","2024-05-03T06:30:00Z","https://instagram.com/p/IG_69024_KLM","1820","94","25","","0.021","89600","33","67","2","29","52","11","3","2","1","GB","London","false","","morningmotivation,sunrise,run,thames,active","en"
"influencer_036","Facebook","FB_27180_TRZ","live","Live gardening Q&A this Saturday. Bring your questions!","2024-04-13T11:00:00Z","https://facebook.com/live/27180TRZ","210","13","9","2900","0.025","9200","49","51","1","6","21","22","29","15","5","US","Portland","false","","gardening,liveqa,grow,community","en"
"influencer_037","Instagram","IG_57204_YXC","video","Travel diaries: Exploring the beauty of Bali.","2024-05-16T10:50:00Z","https://instagram.com/p/IG_57204_YXC","3240","212","58","14300","0.038","86600","41","59","3","37","44","12","2","1","1","ID","Denpasar","true","TravelEase","travel,bali,diaries,explore,travelsponsorship","en"
"influencer_038","Other","OT_11092_XTZ","other","Eco living tips: Reduce waste and save energy.","2024-03-10T08:19:00Z","","115","9","3","","0.042","3100","39","61","0","14","26","33","18","6","3","DK","Aarhus","false","","ecoliving,reducewaste,energytips,community","da"
"influencer_039","YouTube","YT_77129_BNM","video","Reviewing the best wireless speakers for summer parties.","2024-05-21T17:45:00Z","https://youtube.com/watch?v=YT_77129_BNM","2210","199","67","42000","0.025","112000","65","35","5","38","41","11","3","1","1","US","Chicago","true","SoundSphere","speakers,review,summerparty,tech,soundsphere","en"
"influencer_040","Twitter","TW_31294_QAZ","text","Mental health matters. Take a break and breathe.","2024-05-27T13:35:00Z","https://twitter.com/influencer_040/status/31294","82","7","15","","0.043","2400","39","61","1","5","47","28","13","4","2","SE","Stockholm","false","","mentalhealth,break,breathe,selfcare","en"
"influencer_041","Instagram","IG_41285_LPO","image","Fresh market finds. Loving local produce!","2024-06-10T09:20:00Z","https://instagram.com/p/IG_41285_LPO","2550","112","39","","0.029","88400","29","71","4","30","45","12","6","2","1","FR","Lyon","false","","market,localproduce,freshfinds,foodie","fr"
"influencer_042","Facebook","FB_54328_XCV","live","Live painting session for art lovers. Watch and interact!","2024-05-05T14:00:00Z","https://facebook.com/live/54328XCV","520","42","27","4200","0.028","21300","37","63","2","10","22","28","25","9","4","IT","Rome","true","ArtSupplyCo","painting,live,artlover,rome,artsupplyco","it"
"influencer_043","TikTok","TT_74521_WER","video","Trying viral snacks from Tokyo. Which is your favorite?","2024-05-30T21:14:00Z","https://tiktok.com/@influencer_043/video/74521","15200","1287","201","102900","0.047","348000","38","62","12","45","32","7","3","1","0","JP","Tokyo","false","","viralsnacks,tokyo,foodchallenge,trend","ja"
"influencer_044","Other","OT_90173_LSI","other","Join our community book drive this month!","2024-03-28T16:00:00Z","","67","6","3","","0.062","1300","45","55","1","9","30","37","18","3","2","FI","Helsinki","false","","bookdrive,community,reading,nonprofit","fi"
"influencer_045","Instagram","IG_37186_QWE","story","","2024-06-05T08:18:00Z","https://instagram.com/stories/IG_37186_QWE","0","0","0","9900","0","48700","40","60","8","43","32","12","3","1","1","DE","Hamburg","false","","instastory,daily,hamburg,travel","de"
"influencer_046","YouTube","YT_32056_FGH","video","Budget travel tips for students. Save and share!","2024-05-09T15:22:00Z","https://youtube.com/watch?v=YT_32056_FGH","1890","157","52","28500","0.021","119000","54","46","7","44","38","7","2","1","1","US","Boston","true","TravelLite","travel,budgettips,students,travellite,save","en"
"influencer_047","Facebook","FB_11984_NVB","story","","2024-04-22T21:55:00Z","https://facebook.com/story/11984NVB","23","1","1","1100","0.003","5600","40","60","2","7","20","25","28","13","5","IE","Dublin","false","","story,wellness,community,fb","en"
"influencer_048","Instagram","IG_98431_GHJ","reel","Thrift shopping haul: best finds in Berlin.","2024-05-24T17:06:00Z","https://instagram.com/reel/IG_98431_GHJ","2340","111","34","8900","0.028","80100","35","65","5","41","37","12","3","1","1","DE","Berlin","true","ThriftFinds","thrift,shopping,haul,berlin,thriftfinds","de"
"influencer_049","Twitter","TW_42173_PLO","text","Tips for nonprofit leaders: Community engagement strategies.","2024-03-03T14:45:00Z","https://twitter.com/influencer_049/status/42173","71","5","12","","0.031","1000","54","46","0","7","42","21","17","9","4","PT","Lisbon","false","","nonprofit,community,engagement,leadership","pt"
"influencer_050","TikTok","TT_30841_BVF","video","Meme challenge: Try not to laugh! #memechallenge","2024-06-13T19:47:00Z","https://tiktok.com/@influencer_050/video/30841","20400","1834","253","140800","0.041","497000","35","65","14","53","28","3","1","1","0","US","Dallas","false","","memechallenge,funny,trynotolaugh,viral","en"
"influencer_051","Instagram","IG_27381_KLQ","image","Nature walk in Oslo. Green spaces for mental health.","2024-05-18T11:24:00Z","https://instagram.com/p/IG_27381_KLQ","1890","99","31","","0.024","78200","30","70","2","28","48","17","3","1","1","NO","Oslo","false","","naturewalk,mentalhealth,oslo,greenspace","no"
"influencer_052","YouTube","YT_40921_DFE","video","DIY home decor ideas for small spaces.","2024-06-06T16:06:00Z","https://youtube.com/watch?v=YT_40921_DFE","1700","119","40","25400","0.015","117000","47","53","4","33","46","13","3","1","0","US","San Diego","true","Decora","diy,homedecor,smallspaces,decora,interiordesign","en"
"influencer_053","Facebook","FB_75123_WRT","live","Live pet adoption event. Find your new best friend!","2024-04-29T16:05:00Z","https://facebook.com/live/75123WRT","391","31","21","3900","0.021","21000","41","59","2","11","25","27","23","8","4","AU","Sydney","false","","petadoption,live,event,adopt,animals","en"
"influencer_054","Instagram","IG_65028_TRE","video","My favorite smoothie recipe for summer mornings.","2024-06-01T09:08:00Z","https://instagram.com/p/IG_65028_TRE","2970","187","56","13200","0.035","84700","27","73","3","31","46","12","5","2","1","US","Miami","false","","smoothie,recipe,summer,healthyfood,breakfast","en"
"influencer_055","Other","OT_82193_KLI","other","Nonprofit workshop: Building better communities.","2024-03-14T09:40:00Z","","101","8","4","","0.067","1700","52","48","0","10","51","19","12","6","2","PL","Krakow","false","","workshop,nonprofit,community,krakow","pl"
"influencer_056","TikTok","TT_38421_WUI","story","","2024-06-14T14:02:00Z","https://tiktok.com/story/38421WUI","0","0","0","10200","0","12800","47","53","1","11","19","23","27","12","7","ZA","Johannesburg","false","","story,challenge,community,za","en"
"influencer_057","Instagram","IG_71249_HJK","reel","Yoga challenge: Try this pose for a stronger core.","2024-05-20T08:05:00Z","https://instagram.com/reel/IG_71249_HJK","2150","122","30","12000","0.027","80100","26","74","3","29","48","14","4","1","1","GB","London","true","YogaMate","yogachallenge,corestrength,london,yogamate","en"
"influencer_058","YouTube","YT_28541_MNB","video","Top 10 movies to watch this summer. Comment your favorite!","2024-06-08T13:00:00Z","https://youtube.com/watch?v=YT_28541_MNB","1200","79","29","21000","0.011","121000","41","59","5","36","44","10","3","1","1","GB","Liverpool","false","","movies,summer,top10,review,liverpool","en"
"influencer_059","Facebook","FB_49513_QAZ","live","Cooking live: Easy recipes for busy families.","2024-04-08T18:00:00Z","https://facebook.com/live/49513QAZ","430","36","24","3900","0.028","18600","39","61","2","9","22","26","27","10","4","US","Houston","false","","cooking,live,recipes,family,houston","en"
"influencer_060","Instagram","IG_86041_POL","image","Street art discoveries in Barcelona.","2024-06-02T18:19:00Z","https://instagram.com/p/IG_86041_POL","1680","78","22","","0.019","78300","31","69","4","29","50","13","3","1","0","ES","Barcelona","false","","streetart,barcelona,discover,urban","es"
"influencer_101","Instagram","IG_45001_XYZ","image","Exploring the vibrant streets of Berlin! #travel #adventure","2024-06-10T13:45:00Z","https://instagram.com/p/IG_45001_XYZ","3120","210","62","","0.042","74500","41","59","5","29","51","10","4","1","0","DE","Berlin","false","","travel,adventure,berlin,explore","de"
"influencer_102","TikTok","TT_78342_GHI","reel","Dance challenge time! Tag a friend who should try this.","2024-06-11T09:23:00Z","https://tiktok.com/@influencer_102/video/78342_GHI","17600","1403","220","295000","0.034","510000","33","67","15","51","22","7","3","2","0","PH","Manila","true","Sprite","dancechallenge,fun,viral,sprite","en"
"influencer_105","YouTube","YT_51200_PQR","video","Unboxing the latest gaming headset. Let’s see if it lives up to the hype!","2024-05-30T16:10:00Z","https://youtube.com/watch?v=YT_51200_PQR","12800","650","330","520000","0.032","400000","77","23","11","45","32","7","3","1","1","US","San Diego","true","HyperX","gaming,unboxing,tech,hyperx","en"
"influencer_111","Facebook","FB_23489_VWX","live","Join me for a Q&A about family health tips!","2024-06-09T18:05:00Z","https://facebook.com/influencer_111/posts/23489_VWX","890","64","38","7400","0.073","12100","39","61","1","8","12","19","31","20","9","ZA","Johannesburg","false","","healthtips,family,live,wellness","en"
"influencer_116","Twitter","TW_38976_RST","text","Proud to support local nonprofits making a real impact in Warsaw.","2024-06-08T14:34:00Z","https://twitter.com/influencer_116/status/38976_RST","113","9","17","","0.086","1610","47","53","2","8","33","29","18","7","3","PL","Warsaw","false","","nonprofit,community,warsaw","pl"
"influencer_121","Other","OT_15267_MNO","other","Our event in Lisbon was a huge success thanks to everyone who joined!","2024-06-05T17:00:00Z","","41","7","4","","0.029","1800","44","56","0","4","21","36","28","7","4","PT","Lisbon","false","","event,lisbon,community","pt"
